Venda.Código,Venda.Data,Produto.Código,Produto,Quantidade,Produto.Fornecedor,Custo Total,Venda.Valor Total Desconto,Valor Total,Pagamento
868,25/04/2025,261,0261 - LATA PORTA JOIAS - BRILHO NUNCA E DEMAIS,1,BRASFOOT," R$  19,98 ", R$  -   ," R$  49,00 ",PIX
867,25/04/2025,580,0580 - CANECA COM TAMPA 500ML NEO,1,NEO PORCELANAS LTDA," R$  19,90 ", R$  -   ," R$  64,00 ",Cartão de Crédito
867,25/04/2025,322,0322 - CANECA 350ML C/INFUSOR MAE,1,ZONA CRIATIVA," R$  35,90 ", R$  -   ," R$  84,00 ",Cartão de Crédito
866,24/04/2025,517,0517 - CADERNO DISCO PEQUENO 15X21 CAPA DURA,1,AP BRAS OU MERCADO LIVRE," R$  20,00 "," R$  4,28 "," R$  58,90 ",Dinheiro
866,24/04/2025,522,0522 - CHAVEIRO SILICONE DIVERSOS,1,AP BRAS OU MERCADO LIVRE," R$  9,00 "," R$  4,28 "," R$  22,32 ",Dinheiro
865,24/04/2025,570,0570 - ABRIDOR ELETRICO VINHO,1,XNAMAI IMPORTADORA," R$  31,20 ", R$  -   ," R$  89,00 ",Cartão de Débito
865,24/04/2025,543,0543 - CANECA NATURAL 100ML CAFE - OLHO GREGO - LUZ,1,SIMAS PRESENTARIA COMERCIO DE PRESENTES LTDA," R$  17,90 ", R$  -   ," R$  46,00 ",Cartão de Débito
864,23/04/2025,489,0489 - CANECA STONE 450ML SEMEIE AMOR,1,ZONA CRIATIVA," R$  27,90 ", R$  -   ," R$  79,00 ",Cartão de Débito
863,23/04/2025,113,0113 - BOLSA TERMICA LANCHEIRA PEQ,1,RMC2 COMERCIO DE VARIEDADES LTDA," R$  11,99 "," R$  8,50 "," R$  25,50 ",Dinheiro
862,23/04/2025,519,0519 - CADERNO HELLO KITTY SQUISH 15X21,1,AP BRAS OU MERCADO LIVRE," R$  20,00 "," R$  3,20 "," R$  60,80 ",Dinheiro
861,23/04/2025,440,0440 - CANECA MINI TINA 100ML FRASES,1,ZONA CRIATIVA," R$  14,90 "," R$  2,93 "," R$  33,25 ",PIX
